2014/2/1
15 -> 510 | media : 0.576471
16 -> 465 | media : 0.625806
17 -> 397 | media : 0.811083
18 -> 353 | media : 0.660057
19 -> 282 | media : 1.312057
20 -> 231 | media : 1.047619
21 -> 185 | media : 0.756757
22 -> 181 | media : 0.801105
23 -> 139 | media : 0.366906
24 -> 116 | media : 0.189655
25 -> 124 | media : 0.290323
26 -> 98 | media : 0.265306
27 -> 63 | media : 0.174603
28 -> 50 | media : 0.240000
29 -> 54 | media : 0.111111
30 -> 34 | media : 0.176471
31 -> 20 | media : 0.100000
32 -> 10 | media : 0.000000
33 -> 16 | media : 0.125000
34 -> 12 | media : 0.083333
35 -> 7 | media : 0.142857
36 -> 3 | media : 0.000000
37 -> 1 | media : 0.000000
38 -> 7 | media : 0.000000
39 -> 3 | media : 0.000000
40 -> 2 | media : 0.000000
42 -> 1 | media : 0.000000
45 -> 2 | media : 0.000000
51 -> 1 | media : 0.000000
53 -> 1 | media : 0.000000
54 -> 1 | media : 1.000000
2014/2/16
1 -> 17621 | media : 2.916577
2 -> 11247 | media : 11.099760
3 -> 6080 | media : 3.612171
4 -> 3852 | media : 4.144860
5 -> 2362 | media : 1.853514
6 -> 1417 | media : 1.535639
7 -> 964 | media : 1.195021
8 -> 829 | media : 0.914355
9 -> 760 | media : 0.527632
10 -> 715 | media : 0.552448
11 -> 657 | media : 0.605784
12 -> 519 | media : 0.551060
13 -> 365 | media : 0.534247
14 -> 235 | media : 0.446809
15 -> 192 | media : 1.234375
16 -> 151 | media : 0.860927
17 -> 126 | media : 1.507937
18 -> 97 | media : 1.979381
19 -> 72 | media : 2.083333
20 -> 59 | media : 1.677966
21 -> 54 | media : 2.240741
22 -> 35 | media : 2.828571
23 -> 33 | media : 3.151515
24 -> 18 | media : 3.944444
25 -> 14 | media : 3.428571
26 -> 14 | media : 3.142857
27 -> 17 | media : 2.823529
28 -> 13 | media : 2.000000
29 -> 14 | media : 4.428571
30 -> 12 | media : 1.583333
31 -> 6 | media : 1.833333
32 -> 5 | media : 1.800000
33 -> 4 | media : 0.750000
34 -> 1 | media : 2.000000
2014/2/17
1 -> 21890 | media : 2.054317
2 -> 13237 | media : 9.135831
3 -> 6971 | media : 2.879788
4 -> 4380 | media : 2.139726
5 -> 2970 | media : 1.764983
6 -> 1915 | media : 1.559791
7 -> 1329 | media : 0.978932
8 -> 971 | media : 1.145211
9 -> 828 | media : 0.574879
10 -> 748 | media : 0.565508
11 -> 690 | media : 0.460870
12 -> 637 | media : 0.551020
13 -> 560 | media : 0.439286
14 -> 515 | media : 0.332039
15 -> 424 | media : 0.363208
16 -> 358 | media : 0.318436
17 -> 307 | media : 0.648208
18 -> 239 | media : 0.372385
19 -> 200 | media : 1.335000
20 -> 186 | media : 0.779570
21 -> 195 | media : 1.435897
22 -> 181 | media : 0.734807
23 -> 141 | media : 0.730496
24 -> 109 | media : 0.889908
25 -> 73 | media : 1.000000
26 -> 89 | media : 1.348315
27 -> 91 | media : 1.087912
28 -> 78 | media : 1.102564
29 -> 49 | media : 1.571429
30 -> 41 | media : 1.365854
31 -> 30 | media : 1.833333
32 -> 18 | media : 0.888889
33 -> 7 | media : 1.285714
34 -> 1 | media : 0.000000
35 -> 2 | media : 0.000000
36 -> 1 | media : 0.000000
37 -> 1 | media : 0.000000
38 -> 1 | media : 0.000000
39 -> 1 | media : 0.000000
40 -> 1 | media : 0.000000
41 -> 1 | media : 0.000000
42 -> 1 | media : 0.000000
2014/2/18
1 -> 23831 | media : 1.878855
2 -> 14370 | media : 8.744676
3 -> 7133 | media : 3.403477
4 -> 4316 | media : 2.235171
5 -> 3050 | media : 1.171475
6 -> 2315 | media : 1.427214
7 -> 1894 | media : 0.967265
8 -> 1499 | media : 0.920614
9 -> 1247 | media : 0.485164
10 -> 1106 | media : 0.480108
11 -> 885 | media : 0.367232
12 -> 738 | media : 0.406504
13 -> 622 | media : 0.451768
14 -> 518 | media : 0.430502
15 -> 420 | media : 0.461905
16 -> 319 | media : 0.369906
17 -> 273 | media : 0.494505
18 -> 227 | media : 0.502203
19 -> 162 | media : 0.506173
20 -> 140 | media : 1.185714
21 -> 123 | media : 1.373984
22 -> 100 | media : 2.810000
23 -> 89 | media : 1.741573
24 -> 87 | media : 2.103448
25 -> 81 | media : 1.123457
26 -> 55 | media : 1.327273
27 -> 51 | media : 0.509804
28 -> 34 | media : 1.000000
29 -> 15 | media : 1.466667
30 -> 16 | media : 0.187500
31 -> 15 | media : 0.000000
32 -> 11 | media : 0.181818
33 -> 10 | media : 0.200000
34 -> 12 | media : 0.166667
35 -> 7 | media : 0.142857
36 -> 6 | media : 0.333333
37 -> 2 | media : 0.000000
38 -> 3 | media : 0.000000
39 -> 1 | media : 0.000000
40 -> 4 | media : 0.000000
41 -> 7 | media : 0.000000
43 -> 1 | media : 0.000000
44 -> 1 | media : 0.000000
45 -> 2 | media : 0.000000
46 -> 1 | media : 0.000000
47 -> 3 | media : 0.000000
48 -> 1 | media : 0.000000
2014/2/19
1 -> 25074 | media : 1.762104
2 -> 16403 | media : 7.515272
3 -> 8463 | media : 2.647406
4 -> 5073 | media : 1.712793
5 -> 3608 | media : 1.359756
6 -> 2576 | media : 1.739907
7 -> 1823 | media : 1.105321
8 -> 1340 | media : 0.543284
9 -> 1129 | media : 0.488043
10 -> 903 | media : 0.518272
11 -> 726 | media : 0.356749
12 -> 637 | media : 0.408163
13 -> 483 | media : 0.364389
14 -> 396 | media : 0.373737
15 -> 341 | media : 0.903226
16 -> 312 | media : 0.746795
17 -> 286 | media : 0.975524
18 -> 229 | media : 0.816594
19 -> 190 | media : 1.468421
20 -> 173 | media : 0.815029
21 -> 152 | media : 0.861842
22 -> 108 | media : 0.500000
23 -> 87 | media : 0.356322
24 -> 75 | media : 0.240000
25 -> 54 | media : 0.185185
26 -> 47 | media : 0.638298
27 -> 39 | media : 0.307692
28 -> 37 | media : 0.189189
29 -> 30 | media : 0.066667
30 -> 27 | media : 0.148148
31 -> 26 | media : 0.076923
32 -> 18 | media : 0.055556
33 -> 27 | media : 0.148148
34 -> 11 | media : 0.090909
36 -> 7 | media : 0.142857
37 -> 6 | media : 0.000000
38 -> 7 | media : 0.142857
39 -> 4 | media : 0.000000
40 -> 2 | media : 0.000000
41 -> 1 | media : 0.000000
42 -> 1 | media : 0.000000
43 -> 1 | media : 0.000000
44 -> 1 | media : 1.000000
2014/2/20
1 -> 26545 | media : 1.772801
2 -> 17138 | media : 6.987046
3 -> 8655 | media : 2.388446
4 -> 5432 | media : 1.901141
5 -> 3827 | media : 1.466684
6 -> 2750 | media : 0.928364
7 -> 2004 | media : 0.736028
8 -> 1590 | media : 0.974843
9 -> 1286 | media : 0.654743
10 -> 1033 | media : 0.450145
11 -> 800 | media : 0.311250
12 -> 663 | media : 0.357466
13 -> 542 | media : 0.426199
14 -> 455 | media : 0.617582
15 -> 355 | media : 0.664789
16 -> 340 | media : 0.455882
17 -> 282 | media : 0.652482
18 -> 247 | media : 0.773279
19 -> 182 | media : 1.065934
20 -> 151 | media : 0.576159
21 -> 126 | media : 0.460317
22 -> 133 | media : 0.541353
23 -> 103 | media : 1.271845
24 -> 86 | media : 0.476744
25 -> 48 | media : 0.395833
26 -> 33 | media : 0.363636
27 -> 33 | media : 0.909091
28 -> 37 | media : 1.162162
29 -> 29 | media : 0.758621
30 -> 21 | media : 1.000000
31 -> 16 | media : 1.562500
32 -> 18 | media : 0.666667
33 -> 15 | media : 0.600000
34 -> 11 | media : 0.000000
35 -> 6 | media : 0.000000
36 -> 12 | media : 0.333333
37 -> 5 | media : 0.000000
38 -> 2 | media : 0.500000
2014/2/21
1 -> 23143 | media : 1.887482
2 -> 14344 | media : 7.667875
3 -> 7589 | media : 3.006852
4 -> 4886 | media : 2.035612
5 -> 3390 | media : 1.617109
6 -> 2507 | media : 1.342641
7 -> 2028 | media : 1.018245
8 -> 1568 | media : 0.549107
9 -> 1345 | media : 0.368773
10 -> 1074 | media : 0.396648
11 -> 906 | media : 0.383002
12 -> 777 | media : 0.370656
13 -> 723 | media : 0.414938
14 -> 646 | media : 0.326625
15 -> 565 | media : 0.350442
16 -> 497 | media : 0.488934
17 -> 462 | media : 0.690476
18 -> 402 | media : 0.813433
19 -> 364 | media : 0.736264
20 -> 334 | media : 0.595808
21 -> 263 | media : 0.551331
22 -> 183 | media : 0.475410
23 -> 132 | media : 0.439394
24 -> 140 | media : 0.350000
25 -> 111 | media : 0.216216
26 -> 104 | media : 0.201923
27 -> 88 | media : 0.147727
28 -> 51 | media : 0.156863
